"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";
"1";"";"DIODE-DO214AA";"DO214AA";"D1";"DIODE";"";"";"";"";"";"";"";
"7";"";"PINHD-1X03_2.54-S";"1X03-S";"JP3, JP4, JP7, JP8, JP9, JP10, JP14";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-1X04_2.54-S";"1X04-S";"JP2";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-1X05_2.54-S";"1X05-S";"JP6";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-1X06_2.00";"1X06M";"JP5";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"CN3";"JST SR Connector";"";"";"";"";"";"";"";
"1";"1.5k";"R-EU_R0603";"R0603";"R44";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"15";"100n";"C-EUC0603K";"C0603K";"C1, C2, C4, C5, C13, C16, C17, C18, C19, C20, C23, C28, C29, C30, C34";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"11";"10k";"R-EU_R0603";"R0603";"R1, R2, R3, R4, R6, R7, R8, R19, R26, R28, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"3";"10n";"C-EUC0603K";"C0603K";"C10, C11, C27";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"5";"10u";"CPOL-EUA/3216-18W";"A/3216-18W";"C8, C9, C12, C25, C31";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"4";"10uF";"C-EUC0805K";"C0805K";"C6, C7, C21, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"18k";"R-EU_R0603";"R0603";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"18pF";"CAPACITOR0603";"0603";"C3, C15";"Capacitor";"";"";"";"";"";"";"";
"4";"1CUSTOMSTUFF_RX5808";"1CUSTOMSTUFF_RX5808";"1CUSTOMSTUFF_RX5808";"U$1, U$2, U$3, U$4";"";"";"";"";"";"";"";"";
"1";"2.1MMJACKTHM";"2.1MMJACKTHM";"PJ-102A";"U$7";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";"";"";"";"";"";"";
"2";"22";"R-EU_R0603";"R0603";"R42, R43";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"12";"250R";"R-EU_R0603";"R0603";"R14, R15, R17, R18, R27, R29, R34, R35, R37, R38, R40, R41";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"2k";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"330";"RES4NT";"RES4NT";"RP1";"";"";"";"";"";"";"";"";
"5";"4.7K";"R-EU_R0603";"R0603";"R5, R20, R21, R24, R25";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"6";"470u";"CPOL-EUE";"PANASONIC_E";"C14, C24, C26, C32, C33, C37";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"9";"75R";"R-EU_R0603";"R0603";"R9, R12, R13, R16, R22, R23, R33, R36, R39";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"8MHz";"CRYSTAL-5X3";"CRYSTAL-5X3";"Q1";"5x3 Part:";"";"";"";"";"";"";"";
"1";"BOOT";"PINHD-1X02_2.54-S";"1X02-S";"JP1";"PIN HEADER";"";"";"";"";"";"";"";
"1";"BSS123";"BSS123";"SOT23";"Q2";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";
"1";"F/QMX";"F/QMX";"F/QMX";"SP1";"BUZZER Source: Buerklin";"";"";"unknown";"unknown";"";"";"";
"1";"Ferrite";"INDUCTOR0603";"0603";"L1";"";"";"";"";"";"";"";"";
"2";"LMV358";"AD648D";"SO08";"IC1, IC4";"OP AMP";"";"";"";"";"";"";"";
"3";"LT6203";"AD648D";"SO08";"IC2, IC3, IC5";"OP AMP";"";"";"";"";"";"";"";
"1";"MINIMOSD";"MINIMOSD";"MINIMOSD";"U$5";"";"";"";"";"";"";"";"";
"1";"REG113NA-3/250";"REG113NA-3/250";"SOT95P280X145-5N";"U4";"DMOS 400mA Low-Dropout Regulator";"";"REG113NA-3/250";"1575540";"75C7591";"SOT-23-5";"Texas Instruments";"";
"4";"SMA-142-0711-821/826";"SMA-142-0711-821/826";"J502-ND-142-0711-821/826";"X1, X2, X4, X5";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0711-821";"1019328";"16F3627";"";"";"";
"1";"SN74LVC1G139DCUR";"SN74LVC1G139DCUR";"SOP50P310X90-8N";"U1";"2-TO-4 LINE DECODER,VSSOP-8";"";"SN74LVC1G139DCUR";"Unknown";"94T5047";"VSSOP-8";"TEXAS INSTRUMENTS";"";
"1";"STM32F103CB";"STM32F103CB";"LQFP48";"U3";"ST Microelectronics STM32";"";"";"";"";"";"";"";
"1";"SUPERMINI5V";"SUPERMINI5V";"SUPERMINI5V";"U5";"";"";"";"";"";"";"";"";
"4";"TPSQB1,27";"TPSQB1,27";"B1,27";"TP1, TP2, TP3, TP4";"Test pad";"";"";"";"";"";"";"";
"1";"TS3A5017PWR";"TS3A5017PWR";"SOP65P640X120-16N";"U6";"Dual single-pole quadruple-throw  analog switch";"";"TS3A5017PWR";"1755402";"34R9265";"TSSOP-16";"Texas Instruments";"";
"1";"USBSMD";"USBSMD";"USB-MINIB";"X3";"USB Connectors";"";"";"";"";"";"";"";
"1";"XT60";"XT60";"XT60";"U$6";"";"";"";"";"";"";"";"";
